Miejscowoœæ;Powiat;Województwo
Gralewo;dzia³dowski;warmiñsko-mazurskie
Gralewo-stacja;dzia³dowski;warmiñsko-mazurskie
Granaty;brodnicki;kujawsko-pomorskie
Granecznik;koœciañski;wielkopolskie
Granica;stargardzki;zachodniopomorskie
Granice;opolski;lubelskie
Graniczna;œwidnicki;dolnoœl¹skie
Graniczna Wieœ;gdañski;pomorskie
Graniczna Wieœ (pruska Karczma);gdañski;pomorskie
Graniczny;strzelecki;opolskie
Granne;siemiatycki;podlaskie
Granne (nowe Granne);siemiatycki;podlaskie
Granowice;jaworski;dolnoœl¹skie
Granowiec;ostrowski;wielkopolskie
Granowo;choszczeñski;zachodniopomorskie
Granówko;grodziski;wielkopolskie
Grapice;s³upski;pomorskie
Grapiczki;s³upski;pomorskie
Grau¿e Nowe;suwalski;podlaskie
Grau¿e Stare;suwalski;podlaskie
Grazymowo;kwidzyñski;pomorskie
Grazymy;olsztyñski;warmiñsko-mazurskie
Gra¿yna;grójecki;mazowieckie
Gr¹bczewo;p³oñski;mazowieckie
Gr¹bczyn;szczecinecki;zachodniopomorskie
Gr¹bczyñski M³yn;szczecinecki;zachodniopomorskie
Gr¹biec;sierpecki;mazowieckie
Gr¹bkowo;s³upski;pomorskie
Gr¹bkowo (huby);rawicki;wielkopolskie
Gr¹bków;turecki;wielkopolskie
Gr¹blewo;grodziski;wielkopolskie
Gr¹blin;koniñski;wielkopolskie
Gr¹blinek;koniñski;wielkopolskie
Gr¹bnica;ko³obrzeski;zachodniopomorskie
Gr¹d;gryficki;zachodniopomorskie
Gr¹dek;m³awski;mazowieckie
Gr¹dki;warszawski zachodni;mazowieckie
Gr¹dki (gr¹dówko);elbl¹ski;warmiñsko-mazurskie
Gr¹dki Dolne;bytowski;pomorskie
Gr¹dy;gryficki;zachodniopomorskie
Gr¹dy Ma³e;³om¿yñski;podlaskie
Gr¹dy Podmiejskie;piski;warmiñsko-mazurskie
Gr¹dy Polewe;wyszkowski;mazowieckie
Gr¹dy Szlacheckie;wyszkowski;mazowieckie
Gr¹dy Szlacheckie (julianka);wyszkowski;mazowieckie
Gr¹dy Wêgorzewskie;wêgorzewski;warmiñsko-mazurskie
Gr¹dy Wielkie;³om¿yñski;podlaskie
Gr¹dy Zalewne;wyszkowski;mazowieckie
Gr¹dy-³azy;pajêczañski;³ódzkie
Gr¹dy-micha³y;kolneñski;podlaskie
Gr¹dy-mo¿d¿enie;kolneñski;podlaskie
Gr¹dy-woniecko;zambrowski;podlaskie
Gr¹dzeñ;s³upecki;wielkopolskie
Gr¹dzieñ;bytowski;pomorskie
Gr¹dzik;trzebnicki;dolnoœl¹skie
Gr¹dziki;ostrowski;mazowieckie
Gr¹dzkie;ostro³êcki;mazowieckie
Gr¹dzkie E³ckie;e³cki;warmiñsko-mazurskie
Gr¹pa;koszaliñski;zachodniopomorskie
Gr¹sino;s³upski;pomorskie
Gr¹sy;strzelecko-drezdenecki;lubuskie
Gr¹ziowa;bieszczadzki;podkarpackie
Gr¹zów;jêdrzejowski;œwiêtokrzyskie
Gr¹¿awy;brodnicki;kujawsko-pomorskie
Gr¹¿owice;opoczyñski;³ódzkie
Grechów;lipski;mazowieckie
Gredele;bielski;podlaskie
Gregorowce;bielski;podlaskie
Gremzdel;sejneñski;podlaskie
Gremzdy Polskie;sejneñski;podlaskie
Grêbanin;kêpiñski;wielkopolskie
Grêbanin (grêbanin-kolonia Druga);kêpiñski;wielkopolskie
Grêbanin (grêbanin-kolonia Pierwsza);kêpiñski;wielkopolskie
Grêbanin (lipka);kêpiñski;wielkopolskie
Grêbenice;opoczyñski;³ódzkie
Grêbieñ;wieluñski;³ódzkie
Grêbiszew;miñski;mazowieckie
Grêbki;ostrowski;mazowieckie
Grêbków;wêgrowski;mazowieckie
Grêblin;tczewski;pomorskie
Grêbocice;polkowicki;dolnoœl¹skie
Grêbocin;gryficki;zachodniopomorskie
Grêbociny;be³chatowski;³ódzkie
Grêbosze;konecki;œwiêtokrzyskie
Grêboszów;namys³owski;opolskie
Grêboszów (mi³ocin);d¹browski;ma³opolskie
Grêboszów (su³oszów);namys³owski;opolskie
Grêboszyce;oleœnicki;dolnoœl¹skie
Grêbowo;kamieñski;zachodniopomorskie
Grêbów;krotoszyñski;wielkopolskie
Grêbów (gr¹dki);tarnobrzeski;podkarpackie
Grêbów (grzêba);tarnobrzeski;podkarpackie
Grêbów (k¹t);tarnobrzeski;podkarpackie
Grêbów (niwa);tarnobrzeski;podkarpackie
Grêbów (nowy Grêbów);tarnobrzeski;podkarpackie
Grêbów (odrzewy);tarnobrzeski;podkarpackie
Grêbów (palêdzie);tarnobrzeski;podkarpackie
Grêbów (piasek Dolny);tarnobrzeski;podkarpackie
Grêbów (piasek Górny);tarnobrzeski;podkarpackie
Grêbów (szlachecka);tarnobrzeski;podkarpackie
Grêbów (wiry);tarnobrzeski;podkarpackie
Grêbów (zapolednik);tarnobrzeski;podkarpackie
Grêbynice;krakowski;ma³opolskie
Grêdzice;ostrowski;mazowieckie
Grêdzice (mianówek);ostrowski;mazowieckie
Grêdziec;pyrzycki;zachodniopomorskie
Grêdzina;o³awski;dolnoœl¹skie
Grêzawa;¿arski;lubuskie
Grêzino;œwidwiñski;zachodniopomorskie
Grêziny;w¹growiecki;wielkopolskie
Grêzów;siedlecki;mazowieckie
Grêzówka;³ukowski;lubelskie
Grêzówka (nowa Grêzówka);³ukowski;lubelskie
Grêzówka-kolonia;³ukowski;lubelskie
Grobelki;che³mski;lubelskie
Grobelno;malborski;pomorskie
Grobia;miêdzychodzki;wielkopolskie
Grobice;grójecki;mazowieckie
Grobka;szczycieñski;warmiñsko-mazurskie
Grobla;s³upecki;wielkopolskie
Groble;legnicki;dolnoœl¹skie
Groble (sibigi);ni¿añski;podkarpackie
Groblice;wroc³awski;dolnoœl¹skie
Grobniki;g³ubczycki;opolskie
Grochocice;opatowski;œwiêtokrzyskie
Grochocice (grochocice-kolonia);opatowski;œwiêtokrzyskie
Grocholice;opatowski;œwiêtokrzyskie
Grocholice (folwark);opatowski;œwiêtokrzyskie
Grocholice (kolonie);opatowski;œwiêtokrzyskie
Grocholice (poprzecznia Droga);opatowski;œwiêtokrzyskie
Grocholin;nakielski;kujawsko-pomorskie
Grocholub;krapkowicki;opolskie
Grochotów;œwidnicki;dolnoœl¹skie
Grochowa;z¹bkowicki;dolnoœl¹skie
Grochowalsk;lipnowski;kujawsko-pomorskie
Grochowce;przemyski;podkarpackie
Grochowe;mielecki;podkarpackie
Grochowice;g³ogowski;dolnoœl¹skie
Grochowiec;sêpoleñski;kujawsko-pomorskie
Grochowiska;w³oc³awski;kujawsko-pomorskie
Grochowiska Ksiê¿e;¿niñski;kujawsko-pomorskie
Grochowiska Szlacheckie;¿niñski;kujawsko-pomorskie
Grochowo;tucholski;kujawsko-pomorskie
Grochowo Drugie;nowodworski;pomorskie
Grochowo Pierwsze;nowodworski;pomorskie
Grochowo Trzecie;nowodworski;pomorskie
Grochowy;koniñski;wielkopolskie
Grochowy (grochowy Czwarte);koniñski;wielkopolskie
Grochowy (grochowy Drugie);koniñski;wielkopolskie
Grochowy (grochowy Pierwsze);koniñski;wielkopolskie
Grochowy (grochowy Trzecie);koniñski;wielkopolskie
Grochów;kroœnieñski;lubuskie
Grochów Szlachecki;soko³owski;mazowieckie
Grochów W³oœciañski;soko³owski;mazowieckie
Grochów W³oœciañski (kolonia Grochów);soko³owski;mazowieckie
Grochówek;kutnowski;³ódzkie
Grochówka;siedlecki;mazowieckie
Grochy;bia³ostocki;podlaskie
Grochy-imbrzyki;pu³tuski;mazowieckie
Grochy-imbrzyki (grochy-krupy);pu³tuski;mazowieckie
Grochy-³êtownica;zambrowski;podlaskie
Grochy-pogorzele;zambrowski;podlaskie
Grochy-serwatki;pu³tuski;mazowieckie
Grochy-serwatki (¿eromin Drugi);pu³tuski;mazowieckie
Grodkowice;wielicki;ma³opolskie
Grodkowo;p³ocki;mazowieckie
Grodkowo (wychylówka);p³ocki;mazowieckie
Grodkowo-w³óki;sierpecki;mazowieckie
Grodkowo-zawisze;sierpecki;mazowieckie
Grodkowo-zawisze (stefankowo);sierpecki;mazowieckie
Grodków;brzeski;opolskie
Grodna;kolski;wielkopolskie
Grodnia;sierpecki;mazowieckie
Grodnica;gostyñski;wielkopolskie
Grodno;kutnowski;³ódzkie
Grodowice;kazimierski;œwiêtokrzyskie
Grodowiec;polkowicki;dolnoœl¹skie
Grodys³awice;tomaszowski;lubelskie
Grodys³awice-kolonia;tomaszowski;lubelskie
Grodzanów;wo³owski;dolnoœl¹skie
Grodzeñ;lipnowski;kujawsko-pomorskie
Grodzewo;œremski;wielkopolskie
Grodzick-o³daki;ostrowski;mazowieckie
Grodziczno;wyszkowski;mazowieckie
Grodzie;braniewski;warmiñsko-mazurskie
Grodziec;p³oñski;mazowieckie
Grodziec Drugi;opolski;opolskie
Grodziec Ma³y;g³ogowski;dolnoœl¹skie
Grodzisk;sulêciñski;lubuskie
Grodzisk Du¿y;ostro³êcki;mazowieckie
Grodzisk Ma³y;ostro³êcki;mazowieckie
Grodzisk Mazowiecki;grodziski;mazowieckie
Grodzisk Wielkopolski;grodziski;wielkopolskie
Grodzisk-wieœ;ostro³êcki;mazowieckie
Grodziska;p³ocki;mazowieckie
Grodzisko;³êczycki;³ódzkie
Grodzisko (cieœniów);konecki;œwiêtokrzyskie
Grodzisko (d¹bki);konecki;œwiêtokrzyskie
Grodzisko (jarzêbina);radomszczañski;³ódzkie
Grodzisko (sachalina);konecki;œwiêtokrzyskie
Grodzisko Dolne;le¿ajski;podkarpackie
Grodzisko Dolne (krzaki);le¿ajski;podkarpackie
Grodzisko Dolne (mokrzanka);le¿ajski;podkarpackie
Grodzisko Górne;le¿ajski;podkarpackie
Grodzisko Górne (podlesie);le¿ajski;podkarpackie
Grodzisko Nowe;le¿ajski;podkarpackie
Grodziszczany;sokólski;podlaskie
Grodziszcze;z¹bkowicki;dolnoœl¹skie
Grodziszczko;szamotulski;wielkopolskie
Grodziszowice;o³awski;dolnoœl¹skie
Grodziszów;wroc³awski;dolnoœl¹skie
Grodzki M³yn;kêtrzyñski;warmiñsko-mazurskie
Grodzkie Szczepanowiêta;wysokomazowiecki;podlaskie
Grodzonowice;kazimierski;œwiêtokrzyskie
Grodztwo;inowroc³awski;kujawsko-pomorskie
Grodzyna;bydgoski;kujawsko-pomorskie
Grojec;lubliniecki;œl¹skie
Grojec (adolfin);oœwiêcimski;ma³opolskie
Grom;szczycieñski;warmiñsko-mazurskie
Gromada;bi³gorajski;lubelskie
Gromadka;boles³awiecki;dolnoœl¹skie
Gromadno;nakielski;kujawsko-pomorskie
Gromadzice;wieluñski;³ódzkie
Gromadzin;gdañski;pomorskie
Gromadzyn;p³oñski;mazowieckie
Gromadzyn-wykno;kolneñski;podlaskie
Gromadzyñ;legnicki;dolnoœl¹skie
Gromice;p³ocki;mazowieckie
Gromiec;chrzanowski;ma³opolskie
Gromki;bartoszycki;warmiñsko-mazurskie
Gromnik;tarnowski;ma³opolskie
Gromoty;i³awski;warmiñsko-mazurskie
Gronajny;sztumski;pomorskie
Gronity;olsztyñski;warmiñsko-mazurskie
Gronków;nowotarski;ma³opolskie
Gronostaje-puszcza;zambrowski;podlaskie
Gronowice;kluczborski;opolskie
Gronowice (hanower);kluczborski;opolskie
Gronowice (k³ochowice);oleœnicki;dolnoœl¹skie
Gronowo;drawski;zachodniopomorskie
Gronowo (palestyna);mr¹gowski;warmiñsko-mazurskie
Gronowo Elbl¹skie;elbl¹ski;warmiñsko-mazurskie
Gronów;zgorzelecki;dolnoœl¹skie
Gronów-winiarnia;œwiebodziñski;lubuskie
Gronówek;sieradzki;³ódzkie
Gronówko;toruñski;kujawsko-pomorskie
Groñ;tatrzañski;ma³opolskie
Groñsko;nowotomyski;wielkopolskie
Groszki;kutnowski;³ódzkie
Groszkowo;olsztyñski;warmiñsko-mazurskie
Groszowice;radomski;mazowieckie
Groszowice (wrzosów);radomski;mazowieckie
Grotki;bia³obrzeski;mazowieckie
Grotki (grabina);bia³obrzeski;mazowieckie
Grotkowo;gnieŸnieñski;wielkopolskie
Grotniki;koszaliñski;zachodniopomorskie
Grotniki (krzemieñ);zgierski;³ódzkie
Grotniki Du¿e;buski;œwiêtokrzyskie
Grotniki Ma³e;buski;œwiêtokrzyskie
Grotowice;tomaszowski;³ódzkie
Grotowo;bartoszycki;warmiñsko-mazurskie
Grotów;grójecki;mazowieckie
Grozimy;grajewski;podlaskie
Gróbce;w³oc³awski;kujawsko-pomorskie
Gródczanki;raciborski;œl¹skie
Gródczany;g³ubczycki;opolskie
Gródek;zwoleñski;mazowieckie
Gródek (gródek Nowy);zwoleñski;mazowieckie
Gródek Nad Dunajcem;nowos¹decki;ma³opolskie
Gródek Rz¹dowy;pu³tuski;mazowieckie
Gródek Szlachecki;parczewski;lubelskie
Gródek-dwór;soko³owski;mazowieckie
Gródek-kolonia;tomaszowski;lubelskie
Gródki;dzia³dowski;warmiñsko-mazurskie
Gródki (gródki Drugie);bi³gorajski;lubelskie
Gródki (gródki Pierwsze);bi³gorajski;lubelskie
Grójczyk;w³oc³awski;kujawsko-pomorskie
Grójec;w³oc³awski;kujawsko-pomorskie
Grójec Ma³y;sieradzki;³ódzkie
Grójec Wielki;wolsztyñski;wielkopolskie
Grójec Wielki (obojêcie);sieradzki;³ódzkie
Grubno;che³miñski;kujawsko-pomorskie
Grubsko;nowotomyski;wielkopolskie
Grucele;ostro³êcki;mazowieckie
Gruczno;œwiecki;kujawsko-pomorskie
Gruda;ostródzki;warmiñsko-mazurskie
Grudki;hajnowski;podlaskie
Grudna;obornicki;wielkopolskie
Grudna Dolna;dêbicki;podkarpackie
Grudna Górna;dêbicki;podkarpackie
Grudna Kêpska;gorlicki;ma³opolskie
Grudno;jaworski;dolnoœl¹skie
Grudów;pruszkowski;mazowieckie
Grudunki;makowski;mazowieckie
Grudusk;ciechanowski;mazowieckie
Grudusk (grudusk-brzozowo);ciechanowski;mazowieckie
Grudusk (grudusk-olszak);ciechanowski;mazowieckie
Grudynia Ma³a;kêdzierzyñsko-kozielski;opolskie
Grudynia Wielka;kêdzierzyñsko-kozielski;opolskie
Grudza;lwówecki;dolnoœl¹skie
Grudzeñ-kolonia;opoczyñski;³ódzkie
Grudzeñ-las;opoczyñski;³ódzkie
Grudzianka;nowotomyski;wielkopolskie
Grudzi¹dz;grudzi¹dz;kujawsko-pomorskie
Grudzielec;ostrowski;wielkopolskie
Grudzielec Nowy;ostrowski;wielkopolskie
Grudziewszczyzna;sejneñski;podlaskie
Grudzkowola;grójecki;mazowieckie
Grudzyny;jêdrzejowski;œwiêtokrzyskie
GrudŸ;³ukowski;lubelskie
Grunajki;go³dapski;warmiñsko-mazurskie
Gruntowice;w¹growiecki;wielkopolskie
Grunwald;zgierski;³ódzkie
Grupa;jêdrzejowski;œwiêtokrzyskie
Gruszczyce;sieradzki;³ódzkie
Gruszczyce (aleksandria);sieradzki;³ódzkie
Gruszczyn;poznañski;wielkopolskie
Gruszczyn (gruszczynek);kozienicki;mazowieckie
Gruszczyno;wêgrowski;mazowieckie
Gruszeczka;milicki;dolnoœl¹skie
Gruszewnia;k³obucki;œl¹skie
Gruszewo;bia³ogardzki;zachodniopomorskie
Gruszka;kielecki;œwiêtokrzyskie
Gruszka (barcza);kielecki;œwiêtokrzyskie
Gruszka Du¿a (bagatela);zamojski;lubelskie
Gruszka Du¿a-kolonia;zamojski;lubelskie
Gruszka Du¿a-kolonia (elizin);zamojski;lubelskie
Gruszka Ma³a Druga;zamojski;lubelskie
Gruszka Ma³a Pierwsza;zamojski;lubelskie
Gruszka Zaporska;zamojski;lubelskie
Gruszka Zaporska (granice);zamojski;lubelskie
Gruszka Zaporska (korycizna);zamojski;lubelskie
Gruszki;augustowski;podlaskie
Gruszków;ostrzeszowski;wielkopolskie
Gruszowa;przemyski;podkarpackie
Gruszowiec;limanowski;ma³opolskie
Gruszów;proszowicki;ma³opolskie
Gruszów Ma³y;d¹browski;ma³opolskie
Gruszów Wielki;d¹browski;ma³opolskie
Gruszyny;bartoszycki;warmiñsko-mazurskie
Gruta;grudzi¹dzki;kujawsko-pomorskie
Gruta (cukrownia);grudzi¹dzki;kujawsko-pomorskie
Gruzka;hajnowski;podlaskie
Gruzy;piski;warmiñsko-mazurskie
Gru¿ajny;elbl¹ski;warmiñsko-mazurskie
Grybów;nowos¹decki;ma³opolskie
Grybów (soœnie Dolne);nowos¹decki;ma³opolskie
Grybów (soœnie Górne);nowos¹decki;ma³opolskie
Grybów (strzylawki);nowos¹decki;ma³opolskie
Gryfice;gryficki;zachodniopomorskie
Gryfino;gryfiñski;zachodniopomorskie
Gryfów œl¹ski;lwówecki;dolnoœl¹skie
Grygieliszki;go³dapski;warmiñsko-mazurskie
Gryglaki;kolski;wielkopolskie
Grygrów;wêgrowski;mazowieckie
Grylewo;w¹growiecki;wielkopolskie
Grymiaczki;sokólski;podlaskie
Gryszkañce;sejneñski;podlaskie
Grywa³d;nowotarski;ma³opolskie
Gryzikamieñ;opatowski;œwiêtokrzyskie
Gryzy;olecki;warmiñsko-mazurskie
GryŸliny;olsztyñski;warmiñsko-mazurskie
Gry¿ewo;go³dapski;warmiñsko-mazurskie
Gry¿ów;nyski;opolskie
Gry¿yce;wo³owski;dolnoœl¹skie
Gry¿yna;kroœnieñski;lubuskie
Gry¿ynka;koœciañski;wielkopolskie
Gry¿yno;myœliborski;zachodniopomorskie
Grzanka;makowski;mazowieckie
Grzawa;pszczyñski;œl¹skie
Grzebielin;milicki;dolnoœl¹skie
Grzebienie;sokólski;podlaskie
Grzebienie-kolonia;sokólski;podlaskie
Grzebienisko;szamotulski;wielkopolskie
Grzebieñ;radomszczañski;³ódzkie
Grzebowilk;miñski;mazowieckie
Grzebsk;m³awski;mazowieckie
Grzechotki;braniewski;warmiñsko-mazurskie
Grzechynia;suski;ma³opolskie
Grzeczna Panna;nakielski;kujawsko-pomorskie
Grzegorz;toruñski;kujawsko-pomorskie
Grzegorze;piski;warmiñsko-mazurskie
Grzegorzew;kolski;wielkopolskie
Grzegorzew (autostrada);kolski;wielkopolskie
Grzegorzew (otal¹¿);kolski;wielkopolskie
Grzegorzewice;grójecki;mazowieckie
Grzegorzowice;ostrowiecki;œwiêtokrzyskie
Grzegorzowice Ma³e;krakowski;ma³opolskie
Grzegorzowice Wielkie;krakowski;ma³opolskie
Grzegorzów;jaworski;dolnoœl¹skie
Grzegorzówka;rzeszowski;podkarpackie
Grzegorzówka (dynowska Strona);rzeszowski;podkarpackie
Grzegorzówka (górni Koniec);rzeszowski;podkarpackie
Grzegorzówka (kanada);rzeszowski;podkarpackie
Grzegorzówka (krzaki);rzeszowski;podkarpackie
Grzegorzówka (pastwiska);rzeszowski;podkarpackie
Grzegorzówka (zadzia³);rzeszowski;podkarpackie
Grzegórzki;nidzicki;warmiñsko-mazurskie
Grzegrzó³ki;szczycieñski;warmiñsko-mazurskie
Grzepnica;policki;zachodniopomorskie
Grzeszyn;wo³owski;dolnoœl¹skie
Grzeœka;wieruszowski;³ódzkie
Grzêby;brodnicki;kujawsko-pomorskie
Grzêda;bartoszycki;warmiñsko-mazurskie
Grzêdowo;braniewski;warmiñsko-mazurskie
Grzêdy;piaseczyñski;mazowieckie
Grzêdy Górne;wa³brzyski;dolnoœl¹skie
Grzêdzin;kêdzierzyñsko-kozielski;opolskie
Grzêpa;sztumski;pomorskie
Grzêpy;czarnkowsko-trzcianecki;wielkopolskie
Grzêska;przeworski;podkarpackie
Grzêzienko;³obeski;zachodniopomorskie
Grzêzno;³obeski;zachodniopomorskie
Grzmi¹ca;s³ubicki;lubuskie
Grzmiêca;brodnicki;kujawsko-pomorskie
Grzmiko³o;strzelecko-drezdenecki;lubuskie
Grzmucin;radomski;mazowieckie
Grzyb;sieradzki;³ódzkie
Grzyb (depy);sieradzki;³ódzkie
Grzyb (tomaniki);sieradzki;³ódzkie
Grzyb (zgórniaki);sieradzki;³ódzkie
Grzybiany;legnicki;dolnoœl¹skie
Grzybiany (ziemnice);legnicki;dolnoœl¹skie
Grzybina;suwalski;podlaskie
Grzybiny;dzia³dowski;warmiñsko-mazurskie
Grzybiny Ma³e;dzia³dowski;warmiñsko-mazurskie
Grzybki;sieradzki;³ódzkie
Grzybków;s³upecki;wielkopolskie
Grzybnica;œwidwiñski;zachodniopomorskie
Grzybniczka;koszaliñski;zachodniopomorskie
Grzybno;myœliborski;zachodniopomorskie
Grzybowa;kielecki;œwiêtokrzyskie
Grzybowa Góra;skar¿yski;œwiêtokrzyskie
Grzybowce;bia³ostocki;podlaskie
Grzybowice;w¹growiecki;wielkopolskie
Grzybowo;wrzesiñski;wielkopolskie
Grzybowo-kapuœnik;m³awski;mazowieckie
Grzybowski M³yn;koœcierski;pomorskie
Grzybowszczyzna;sokólski;podlaskie
Grzybów;³osicki;mazowieckie
Grzybów (stary Grzybów);kozienicki;mazowieckie
Grzybów Dolny;kutnowski;³ódzkie
Grzybów Dolny (gajew Grzybowski);kutnowski;³ódzkie
Grzybów Dolny (janów Grzybowski);kutnowski;³ódzkie
Grzybów Hornowski;kutnowski;³ódzkie
Grzyby-orzepy;siemiatycki;podlaskie
Grzymaczew;sieradzki;³ódzkie
Grzymaczew (stawki);sieradzki;³ódzkie
Grzymalin;legnicki;dolnoœl¹skie
Grzyma³a;buski;œwiêtokrzyskie
Grzyma³ków;kielecki;œwiêtokrzyskie
Grzyma³ów;opoczyñski;³ódzkie
Grzyma³y;zambrowski;podlaskie
Grzyma³y Szczepankowskie;³om¿yñski;podlaskie
Grzymek;grodziski;mazowieckie
Grzymiradz;myœliborski;zachodniopomorskie
Grzymis³aw;cz³uchowski;pomorskie
Grzymiszew;turecki;wielkopolskie
Grzymiszew (babiak);turecki;wielkopolskie
Grzymiszew (gozdów);turecki;wielkopolskie
Grzymiszew (wygoda);turecki;wielkopolskie
Grzymki;³om¿yñski;podlaskie
Grzymkowice;rawski;³ódzkie
Grzymys³aw;œremski;wielkopolskie
Grzymys³awice;wrzesiñski;wielkopolskie
Grzywacz;choszczeñski;zachodniopomorskie
Grzywna;choszczeñski;zachodniopomorskie
Grzywna (domena);toruñski;kujawsko-pomorskie
Grzywna (grzywna Biskupia);toruñski;kujawsko-pomorskie
Grzywna (grzywna Szlachecka);toruñski;kujawsko-pomorskie
Grzywna (ma³a Grzywna);toruñski;kujawsko-pomorskie
Grzywnik;szczecinecki;zachodniopomorskie
Gubin;kroœnieñski;lubuskie
Gubinek;kroœnieñski;lubuskie
Gubiny;grudzi¹dzki;kujawsko-pomorskie
Gubity;ostródzki;warmiñsko-mazurskie
Gub³awki;i³awski;warmiñsko-mazurskie
Gucin;ostródzki;warmiñsko-mazurskie
Guciów;zamojski;lubelskie
Gudniki;ostródzki;warmiñsko-mazurskie
Gudowo;drawski;zachodniopomorskie
Gudziki;kêtrzyñski;warmiñsko-mazurskie
Gudziki (podgórzyn);kêtrzyñski;warmiñsko-mazurskie
Gudzisz;myœliborski;zachodniopomorskie
Gugny;moniecki;podlaskie
Gugo³y;sierpecki;mazowieckie
Guja;wêgorzewski;warmiñsko-mazurskie
Gulb;i³awski;warmiñsko-mazurskie
Gulb (skarszewo);i³awski;warmiñsko-mazurskie
Gulbieniszki;suwalski;podlaskie
Gulbin;sejneñski;podlaskie
Gulbiny;rypiñski;kujawsko-pomorskie
Gulbity;elbl¹ski;warmiñsko-mazurskie
Gulcz;czarnkowsko-trzcianecki;wielkopolskie
Gulczewko;wrzesiñski;wielkopolskie
Gulczewo;wrzesiñski;wielkopolskie
Gulewo;gostyniñski;mazowieckie
Gulin;radomski;mazowieckie
Gulinek;radomski;mazowieckie
Gulkajmy;bartoszycki;warmiñsko-mazurskie
Gulzów;zawierciañski;œl¹skie
Gu³ki;rawski;³ódzkie
Gu³ów;³ukowski;lubelskie
Gu³ów (dêbowica);³ukowski;lubelskie
Gu³towy;poznañski;wielkopolskie
Gumienice;gostyñski;wielkopolskie
Gumienice (nowe Gumienice);kielecki;œwiêtokrzyskie
Gumienice (straszniów Gumienicki);kielecki;œwiêtokrzyskie
Gumienice (towarzystwo);kielecki;œwiêtokrzyskie
Gumieniec;bytowski;pomorskie
Gumieniec (ciemnica);bytowski;pomorskie
Gumieniec (kleszczewo);bytowski;pomorskie
Gumieniec (radaczewo);bytowski;pomorskie
Gumki;ostro³êcki;mazowieckie
Gumna;cieszyñski;œl¹skie
Gumniska;dêbicki;podkarpackie
Gumniska Ma³e;ostródzki;warmiñsko-mazurskie
Gumniska Wielkie;ostródzki;warmiñsko-mazurskie
Gumnisko;pajêczañski;³ódzkie
Gumnowice;nakielski;kujawsko-pomorskie
Gumowo;ostrowski;mazowieckie
Gumowo (krzy¿e);ciechanowski;mazowieckie
Gunie-ostrów;zambrowski;podlaskie
Gunów-kolonia;kazimierski;œwiêtokrzyskie
Gunów-wilków;kazimierski;œwiêtokrzyskie
Gurba;¿yrardowski;mazowieckie
Gurbicze;moniecki;podlaskie
Gurcz;kwidzyñski;pomorskie
Gurowo;gnieŸnieñski;wielkopolskie
Gurówko;gnieŸnieñski;wielkopolskie
Gusin;otwocki;mazowieckie
Gustawin;przasnyski;mazowieckie
Gustawów;pleszewski;wielkopolskie
Gustorzyn;w³oc³awski;kujawsko-pomorskie
Guszczewina;hajnowski;podlaskie
Guszczewina (gruszki);hajnowski;podlaskie
Gutanów;lubelski;lubelskie
Gutarzewo;p³oñski;mazowieckie
Gutki;grajewski;podlaskie
Gutkowice;tomaszowski;³ódzkie
Gutkowice-nowiny;tomaszowski;³ódzkie
Gutkowo;¿uromiñski;mazowieckie
Gutków;ciechanowski;mazowieckie
Gutocha;ostro³êcki;mazowieckie
Gutowiec;chojnicki;pomorskie
Gutowo;toruñski;kujawsko-pomorskie
